run,n,overall_rmse,d5_rmse,d10_rmse,d5_n,d10_n,d5_target_rms,d10_target_rms,d5_rel_rmse,d10_rel_rmse,overall_rel_rmse
xy1_d5d10_eco20_xy1_fold1_e2e_g05,481397,0.33119086331489855,0.07977705275846696,0.4622376419528077,241457,239940,0.08768736860662392,0.7949311726844155,0.9097895629227558,0.5814813380532936,0.5865517844286416
xy1_d5d10_eco20_xy1_fold2_e2e_g05,481358,0.14967809050258726,0.03842151420642212,0.20855151116695475,241612,239746,0.08697334421632319,0.7771677172527811,0.4417619507749267,0.26834813970936133,0.27119293432754404
xy1_d5d10_eco20_xy1_fold3_e2e_g05,481177,0.20219395074473867,0.0672705620660734,0.2784814869850195,241618,239559,0.08671658831127331,0.754147150162996,0.7757519452287782,0.36926677628474824,0.3774693703091771
xy1_d5d10_eco50_xy1_fold1_e2e_g05,482279,0.33526222980943937,0.08980782454007231,0.46701139046033396,242705,239574,0.18880869207106374,1.269378324247935,0.47565513830406964,0.3679055972040667,0.3706036464113574
xy1_d5d10_eco50_xy1_fold2_e2e_g05,482923,0.45466908093141944,0.12413035687592551,0.6321490542251982,242450,240473,0.19141539726976786,1.2488215136360468,0.6484867917965064,0.5061964798993926,0.5099378801884454
xy1_d5d10_eco50_xy1_fold3_e2e_g05,475859,0.7154756681728852,0.14792751870732487,1.0102733759527347,242390,233469,0.19288540557684403,0.4817401068571844,0.7669191884421329,2.0971336236537144,1.9632488164580826
xy1_d5d10_ecomesh_xy1_fold1_e2e_g05,498456,0.5755084598873959,0.14608923706183305,0.7895033709482484,241874,256582,0.18685861002132853,1.1312842221642398,0.7818169954553233,0.6978824202443692,0.7001098805552444
xy1_d5d10_ecomesh_xy1_fold2_e2e_g05,495653,0.15013118759016766,0.05259757267151718,0.2024887187929561,239332,256321,0.13559602511418883,1.1266573248331089,0.38789907467585005,0.17972520510879442,0.18405969230075742
xy1_d5d10_ecomesh_xy1_fold3_e2e_g05,498971,0.12890086740757922,0.06801273468364798,0.16719750837869124,242533,256438,0.19249926107128554,1.121469946289785,0.3533142636763773,0.1490878190109678,0.158141731162869
