trial_id,n_input,n_after_drop,n_centerish,n_centerish_active,status,x_mm,y_mm,i,j,Fz_raw,beta,z_eff_mm,gt_peak,peak_x_mm,peak_y_mm
ecomesh_d10_z1.5_test1,692992,691698,1725,921,OK,0.75,0.25,19.0,20.0,2.36,1.00600969065115,2.023928,0.028678199276328087,-0.25,0.25
ecomesh_d10_z1_test1,863841,631384,1372,367,OK,1.25,0.25,20.0,20.0,0.67,1.001706140989945,1.99931,0.008106863126158714,0.25,0.25
ecomesh_d10_z1_test2,870668,549517,1371,952,OK,-0.75,-0.25,19.0,19.0,1.01,1.002571943880365,2.203442,0.012049367651343346,-0.25,-0.25
ecomesh_d10_z1_test3,550420,549559,1371,1070,OK,-1.25,-0.25,19.0,19.0,1.21,1.0030812396982591,1.9842305,0.01466085109859705,-0.25,-0.25
ecomesh_d5_z1.5_test1,678326,677002,1369,701,OK,-2.25,-0.25,19.0,19.0,1.69,1.0172141986448193,2.0423735,0.06618233025074005,-0.25,-0.25
ecomesh_d5_z1.5_test2,680659,679330,1369,730,OK,-1.75,-0.25,20.0,19.0,1.64,1.0167049028269253,1.9458125,0.0660826787352562,0.25,-0.25
ecomesh_d5_z1.5_test3,550516,549378,1360,1358,OK,-1.75,-0.25,19.0,19.0,2.6,1.0264833825304913,1.9983365,0.10274678468704224,-0.25,-0.25
ecomesh_d5_z1.5_test4,711587,708166,1368,725,OK,-5.25,-0.25,19.0,19.0,1.79,1.0182327902806074,2.04056,0.0701686441898346,-0.25,-0.25
ecomesh_d5_z1.5_test5,733305,732247,1370,1083,OK,1.25,0.25,19.0,20.0,2.26,1.0230201709688118,1.867448,0.09163080900907516,-0.25,0.25
ecomesh_d5_z1.5_test6,549693,547420,1370,693,OK,-0.75,-0.25,20.0,19.0,1.68,1.0171123394812407,2.002199,0.06578413397073746,0.25,-0.25
ecomesh_d5_z1.5_test7,658701,658186,1371,996,OK,-0.75,-0.25,19.0,19.0,0.94,1.0095747613764083,1.820168,0.038677509874105453,-0.25,-0.25
ecomesh_d5_z1.5_test8,637811,637184,1369,556,OK,-1.25,-0.25,19.0,19.0,0.69,1.007028282286938,2.002982,0.026750611141324043,-0.25,-0.25
ecomesh_d5_z1.5_test9,569497,569228,1371,1131,OK,-0.75,-0.25,19.0,19.0,1.21,1.0123249587930363,2.0911835,0.04576500877737999,-0.25,-0.25
ecomesh_d5_z1_test1,550864,549532,1370,0,NO_ACTIVE_CENTER,,,,,,,,,,
ecomesh_d5_z1_test2,601714,549529,1372,80,OK,-1.25,-0.25,19.0,19.0,0.42,1.0042780848703101,1.97681,0.016238512471318245,-0.25,-0.25
ecomesh_d5_z1_test3,550694,549514,1370,339,OK,-0.25,-0.25,20.0,19.0,0.7,1.007130141450517,1.985993,0.027141045778989792,0.25,-0.25
